County	BusinessName	StreetAddress	City	ZipCode	DesigneeName	ViolationText	ReportedDate	ViolationDate
Portage	Therm-O-Link	10513 Freedom St	Garrettsville	44231-9244	ODH	Smoking in Prohibited Area, No Signs Posted	Mar  7 2008	Feb 28 2008
Portage	Thomas Asphalt Paving & Sealcoating	7678 Seasons Rd	Kent	44240-6031	ODH	Smoking in Prohibited Area, Ashtray Present	Apr  4 2008	Apr  4 2008
Portage	Time Out Sports Bar & Grill	7160 State Route 303	Windham	44288-9758	ODH	Smoking in Prohibited Area, Ashtray Present, No Signs Posted	May 30 2007	May 30 2007
Sandusky	Jenny's Copper Penny	502 E State St	Fremont	43420-4259	Sandusky	Smoking in Prohibited Area, Ashtray Present, No Signs Posted	Nov 25 2007	Nov 25 2007
Sandusky	JoJo's Nite Club	115 E Main St	Woodville	43469-1208	Sandusky	Smoking in Prohibited Area, Ashtray Present, No Signs Posted, Infiltration of Smoke	Aug 26 2007	Aug 25 2007
Sandusky	JoJo's Nite Club	115 E Main St	Woodville	43469-1208	Sandusky	Smoking in Prohibited Area, Ashtray Present, No Signs Posted	Oct  4 2007	Oct  4 2007
Sandusky	Kate & Al's Bar & Grill	105 S Main St	Gibsonburg	43431-1336	Sandusky	Smoking in Prohibited Area, Ashtray Present, Inadequate Signs Posted, Infiltration of Smoke	Aug 21 2007	Aug 20 2007
Sandusky	Loyal Order Of Moose 393	134 Eaton Ave	Clyde	43410-1316	Sandusky	Smoking in Prohibited Area, Ashtray Present, Infiltration of Smoke	Jun 15 2007	Jun 15 2007
Trumbull	Delphi Packard Electric	1265 N River Rd NE	Warren	44486-0001	Trumbull	Smoking in Prohibited Area	Sep 22 2007	Sep 21 2007
Trumbull	Delphi Packard Electric	1265 N River Rd NE	Warren	44486-0001	Trumbull	Smoking in Prohibited Area, Inadequate Signs Posted	Sep 25 2007	Sep 25 2007
Trumbull	Deuces Wild	4552 Maple Dr	Newton Falls	44444-8744	Trumbull	Smoking in Prohibited Area, Ashtray Present	Jun 17 2008	Jun 16 2008
Trumbull	DFW	5943 Youngstown Warren Rd	Niles	44446-4701	ODH	Smoking in Prohibited Area	Sep 26 2007	Sep 26 2007
Trumbull	Diamond Appliance	42 N Main St	Hubbard	44425-1651	Trumbull	Smoking in Prohibited Area, No Signs Posted	Nov 11 2008	Nov 10 2008
Union	Boston Gourmet Pizza	1099 Lydia Dr	Marysville	43040-7081	Union	Smoking in Prohibited Area, Infiltration of Smoke	Jun 20 2008	Jun 20 2008
Union	Ceva Logistics	26230 Stokes Rd	East Liberty	43319-9501	ODH	Smoking in Prohibited Area, Infiltration of Smoke	Aug 15 2007	Aug 15 2007
Union	Flamingo Bar	210 N Plum St	Marysville	43040-1278	Union	Smoking in Prohibited Area, Ashtray Present	Dec  6 2007	Dec  1 2007
Union	Flamingo Bar	210 N Plum St	Marysville	43040-1278	Union	Smoking in Prohibited Area	Jan  4 2008	Jan  1 2008
Union	Fraternal Order Of Eagles 3506	227 S Main St Box 63	Marysville	43040-1553	Union	Smoking in Prohibited Area, Ashtray Present	Aug  6 2007	Aug  5 2007
Union	Marble & Granite Works	7635 Commerce Pl	Plain City	43064-9223	Union	Smoking in Prohibited Area, Ashtray Present, Inadequate Signs Posted	May 11 2007	May 10 2007
Union	Marble & Granite Works	7635 Commerce Pl	Plain City	43064-9223	Union	Smoking in Prohibited Area, Inadequate Signs Posted	May 15 2007	May 15 2007
Union	Marysville High School	800 Amrine Mill Rd	Marysville	43040-1004	Union	Smoking in Prohibited Area	Dec 15 2007	Dec 15 2007
Wood	Cracker Barrel Country Store	27491 Helen Dr	Perrysburg	43551-3375	Wood	Inadequate Signs Posted	May 14 2007	May 13 2007
Wood	CSX Corp	239 W Union St	Walbridge	43465-1316	Wood	Smoking in Prohibited Area, Ashtray Present	Dec  5 2007	Dec  4 2007
Wood	Woodland Mall	1234 N Main St Ste 62	Bowling Green	43402-1359	Wood	Smoking in Prohibited Area, Ashtray Present, No Signs Posted, Infiltration of Smoke	Aug  1 2007	Aug  1 2007
Wood	Woodland Mall	1234 N Main St Ste 62	Bowling Green	43402-1359	Wood	Infiltration of Smoke	Sep 11 2007	Sep 11 2007
Wood	Ziggy Zoombas	300 E Wooster St	Bowling Green	43402-2924	Wood	Smoking in Prohibited Area, Ashtray Present, Infiltration of Smoke	May  7 2007	May  3 2007
Wyandot	R Bar	128 E Findlay St	Carey	43316-1248	Wyandot	Smoking in Prohibited Area, No Signs Posted, Infiltration of Smoke	Sep  7 2007	Sep  6 2007
Wyandot	Rosebud Cafe	127 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area, Ashtray Present	Dec 28 2007	Dec 27 2007
Wyandot	Rosebud Cafe	127 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area, Ashtray Present	Oct 15 2007	Oct 12 2007
Wyandot	Rosebud Cafe	127 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area, Ashtray Present	Oct 21 2007	Oct 21 2007
Wyandot	Rosebud Cafe	127 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area, Ashtray Present, No Signs Posted	Sep  8 2007	Sep  8 2007
Wyandot	Steer Barn	1144 E Wyandot Ave	Upper Sandusky	43351-9641	Wyandot	Smoking in Prohibited Area, Ashtray Present	Apr 29 2008	Apr 25 2008
Wyandot	Steer Barn	1144 E Wyandot Ave	Upper Sandusky	43351-9641	Wyandot	Smoking in Prohibited Area, Ashtray Present, No Signs Posted, Infiltration of Smoke	Jun 24 2007	Jun 23 2007
Wyandot	Sycamore Police Dept	134 S Sycamore Ave	Sycamore	44882	Wyandot	Smoking in Prohibited Area, Other	Feb  1 2008	Jan 31 2008
Wyandot	Sycamore Tavern	127 S Sycamore Ave	Sycamore	44882	Wyandot	Smoking in Prohibited Area	May 15 2007	May 15 2007
Wyandot	Sycamore Tavern	127 S Sycamore Ave	Sycamore	44882	Wyandot	Smoking in Prohibited Area, Infiltration of Smoke	May 15 2007	May 15 2007
Wyandot	T & T Sports Lounge	111 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area	Feb 22 2008	Feb 21 2008
Wyandot	T & T Sports Lounge	111 N Sandusky Ave	Upper Sandusky	43351-1253	Wyandot	Smoking in Prohibited Area, Ashtray Present, Infiltration of Smoke	Jul 31 2007	Jul 29 2007
